用例编号,用例名称,测试类型,前置条件,测试步骤,输入数据,预期结果,实际结果,测试状态,备注
TC001,学生正确登录（有效学号+正确密码+选择学生角色）,正常情况测试,"1. 数据库中存在学号为 202383290001 的学生
2. 该学生的密码为 ""123456""
3. 应用程序已启动，显示登录界面","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 确认默认选中""学生""角色
4. 在用户名输入框输入学号 ""202383290001""
5. 在密码输入框输入密码 ""123456""
6. 点击""登录""按钮
7. 观察系统响应","学号: 202383290001
密码: 123456
角色: 学生","1. 显示成功提示弹窗：""学生登录成功！欢迎，张三！""
2. 登录窗口关闭
3. 打开学生主界面窗口",,,
TC002,辅导员正确登录（有效工号+正确密码+选择辅导员角色）,正常情况测试,"1. 数据库中存在工号为 223807001 的辅导员
2. 该辅导员的密码为 ""123456""
3. 应用程序已启动，显示登录界面","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 点击""辅导员""角色按钮
4. 在用户名输入框输入工号 ""223807001""
5. 在密码输入框输入密码 ""123456""
6. 点击""登录""按钮
7. 观察系统响应","工号: 223807001
密码: 123456
角色: 辅导员","1. 显示成功提示弹窗：""辅导员登录成功！欢迎，张明！""
2. 登录窗口关闭
3. 打开辅导员主界面窗口",,,
TC003,管理员正确登录（admin+123321+选择管理员角色）,正常情况测试,"1. 管理员凭据硬编码在AuthService中
2. 应用程序已启动，显示登录界面","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 点击""管理员""角色按钮
4. 在用户名输入框输入用户名 ""admin""
5. 在密码输入框输入密码 ""123321""
6. 点击""登录""按钮
7. 观察系统响应","用户名: admin
密码: 123321
角色: 管理员","1. 显示成功提示弹窗：""管理员登录成功！""
2. 登录窗口关闭
3. 打开管理员主界面窗口",,,
TC004,用户名为空,边界情况测试,"1. 应用程序已启动，显示登录界面
2. 已选择角色（默认学生角色）","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 确认已选择角色
4. 用户名输入框保持为空
5. 在密码输入框输入密码 ""123456""
6. 点击""登录""按钮
7. 观察系统响应","用户名: （空）
密码: 123456
角色: 学生","1. 显示错误提示弹窗：""请选择角色并填写完整信息""
2. 登录窗口保持打开状态
3. 不跳转到主界面",,,
TC005,密码为空,边界情况测试,"1. 应用程序已启动，显示登录界面
2. 已选择角色（默认学生角色）","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 确认已选择角色
4. 在用户名输入框输入学号 ""202383290001""
5. 密码输入框保持为空
6. 点击""登录""按钮
7. 观察系统响应","用户名: 202383290001
密码: （空）
角色: 学生","1. 显示错误提示弹窗：""请选择角色并填写完整信息""
2. 登录窗口保持打开状态
3. 不跳转到主界面",,,
TC006,用户名超长（50个字符）,边界情况测试,"1. 应用程序已启动，显示登录界面
2. 已选择角色（默认学生角色）","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 确认已选择角色
4. 在用户名输入框输入50个字符的字符串
5. 在密码输入框输入密码 ""123456""
6. 点击""登录""按钮
7. 观察系统响应","用户名: 12345678901234567890123456789012345678901234567890（50个字符）
密码: 123456
角色: 学生","1. 显示错误提示弹窗：""账号或密码错误，还剩 2 次尝试机会""
2. 登录窗口保持打开状态
3. 不跳转到主界面",,,
TC007,密码超长（100个字符）,边界情况测试,"1. 应用程序已启动，显示登录界面
2. 已选择角色（默认学生角色）","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 确认已选择角色
4. 在用户名输入框输入学号 ""202383290001""
5. 在密码输入框输入100个字符的字符串
6. 点击""登录""按钮
7. 观察系统响应","用户名: 202383290001
密码: 1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890（100个字符）
角色: 学生","1. 显示错误提示弹窗：""账号或密码错误，还剩 2 次尝试机会""
2. 登录窗口保持打开状态
3. 不跳转到主界面",,,
TC008,未选择角色,边界情况测试,"1. 应用程序已启动，显示登录界面","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 在用户名输入框输入学号 ""202383290001""
4. 在密码输入框输入密码 ""123456""
5. 尝试取消选择角色（如果可能）
6. 点击""登录""按钮
7. 观察系统响应","用户名: 202383290001
密码: 123456
角色: （未选择）","1. 如果角色可以取消选择：显示错误提示弹窗：""请选择角色并填写完整信息""
2. 如果角色不能取消选择：正常登录（因为默认选中学生角色）",,,
TC009,错误密码（正确学号+错误密码）,异常情况测试,"1. 数据库中存在学号为 202383290001 的学生
2. 该学生的正确密码为 ""123456""
3. 应用程序已启动，显示登录界面","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 确认已选择""学生""角色
4. 在用户名输入框输入学号 ""202383290001""
5. 在密码输入框输入错误密码 ""wrong123""
6. 点击""登录""按钮
7. 观察系统响应","用户名: 202383290001
密码: wrong123
角色: 学生","1. 显示错误提示弹窗：""账号或密码错误，还剩 2 次尝试机会""
2. 登录窗口保持打开状态
3. 不跳转到主界面
4. 登录尝试次数减少1次",,,
TC010,不存在的用户（不存在的学号+任意密码）,异常情况测试,"1. 数据库中不存在学号为 TEST999999 的学生
2. 应用程序已启动，显示登录界面","1. 启动应用程序（mvn javafx:run）
2. 确认登录界面正常显示
3. 确认已选择""学生""角色
4. 在用户名输入框输入不存在的学号 ""TEST999999""
5. 在密码输入框输入任意密码 ""123456""
6. 点击""登录""按钮
7. 观察系统响应","用户名: TEST999999
密码: 123456
角色: 学生","1. 显示错误提示弹窗：""账号或密码错误，还剩 2 次尝试机会""
2. 登录窗口保持打开状态
3. 不跳转到主界面
4. 登录尝试次数减少1次",,,
